_id,id,genres,rating,release_date,runtime,source,summary,title,type
685682fc8482e0a7a00726eb,tmdb_541671,"Action, Thriller, Crime",7.092,2025-06-04,0,tmdb,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",Ballerina,movie
685682fc8482e0a7a00726ec,tmdb_1197306,"Action, Crime, Thriller",6.688,2025-03-26,0,tmdb,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",A Working Man,movie
685682fc8482e0a7a00726ed,tmdb_1097311,"Thriller, Drama",6.4,2025-06-13,0,tmdb,"Kate lives a secluded life—until her troubled daughter shows up, frightened and covered in someone else's blood. As Kate unravels the shocking truth, she learns just how far a mother will go to try to save her child.",Echo Valley,movie
685682fc8482e0a7a00726ee,tmdb_803796,"Animation, Fantasy, Action, Music, Comedy",8.239,2025-06-20,0,tmdb,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",KPop Demon Hunters,movie
685682fc8482e0a7a00726ef,tmdb_1403735,"Comedy, Romance",5.8,2025-02-14,0,tmdb,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",Laila,movie
685682fc8482e0a7a00726f0,tmdb_1011477,"Action, Adventure, Drama",6.881,2025-05-08,0,tmdb,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",Karate Kid: Legends,movie
685682fc8482e0a7a00726f1,tmdb_1022787,"Family, Comedy, Adventure, Animation, Science Fiction",6.955,2025-06-18,0,tmdb,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",Elio,movie
685682fc8482e0a7a00726f2,tmdb_1010581,"Romance, Drama",7.8,2023-06-08,0,tmdb,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",My Fault,movie
685682fc8482e0a7a00726f3,tmdb_1180648,"Horror, Drama",4.5,2024-10-10,0,tmdb,"After inheriting an old mudbrick house in his home village in Eastern Europe, a man returns after spending his whole life in England, only to find out that inhabitants are hiding a dark secret about the pagan Slavic cult and his own past.",Mudbrick,movie
685682fc8482e0a7a00726f4,tmdb_1426680,"Science Fiction, Romance, Comedy",6.728,2025-06-09,0,tmdb,"Husband and wife Nora and Héctor's scientific breakthrough lets them time travel from 1966 to 2025. As Héctor struggles, Nora thrives—but at what cost?",Our Times,movie
